Consumption of Alcohol,P_MHD,DAUD,PDD,PAD,PADHD,DMSUD,PBD,ghs,media integrity,military expenditure,HDI,Adjusted net national income per capita,Current health expenditure,Current health expenditure per capita,Out-of-pocket expenditure,Unemployment,School enrollment primary,School enrollment secondary,School enrollment tertiary,LFE,rate-total
3.68,274865.7158,0.9554797500075672,64095.90226340001,94338.5424351,12425.88714734,0.0011622354980290756,17818.9286713,,0.135,,0.745,..,,,,1.917999983,100.09401700000001,72.10059357,,71.8,1.696808562
,1066810.767,2.8460006042771537,281255.000218,322716.290646,72523.90287620001,0.0018079978890168913,66106.02279789999,,0.5720000000000001,0.019,0.775,5563.808728,9.31232452,627.53302,37.86663818,22.15399933,100.8955383,94.40921021,56.38087845,75.0,1.375370865
4.9,347647.6676,0.6257524255361316,78186.90273789999,87217.29677619999,31546.09246957,0.010261972724864907,24565.103971,0.127,0.7070000000000001,0.0,0.7390000000000001,3758.457596,6.09434938,304.4779968,32.23935318,3.677999973,107.21019740000001,67.9956665,42.09386063,78.0,1.393042343
6.79,43707.83184,1.826114433797,11030.5773037,16231.209612399998,2395.716257345,0.01142623950071562,3044.85372117,0.147,,0.0,0.892,..,8.53229141,3644.8027340000003,18.186746600000006,7.56400013,99.30812073,107.3143463,78.8184433,82.4,1.94207042
0.51,4535351.465,0.41717088032862937,1444054.59661,1359006.66098,355306.286051,0.00021026837213812682,209110.220008,0.0413,0.465,0.029,0.52,1210.430486,,,,13.93999958,87.68070221,37.00091934,9.637800217,68.9,1.2250471029999999
4.02,145607.9352,4.0155909458463634,44958.8278396,40918.6656616,7211.42889264,0.0002182232433593765,7092.2444867,0.0882,0.795,0.00187,0.6970000000000001,3479.241921,3.22486687,162.0018463,45.32218552,8.305000305,101.4146194,84.60575104,16.55583954,72.7,1.5588592280000002
,8596179.24,0.9032455675776112,2316572.77984,1707208.82557,542370.6260159999,0.0001401592890639243,470500.59457700007,0.0642,0.218,0.0194,0.624,499.9623812,5.39199686,42.29331589,37.33816147,2.079999924,98.12531281,,16.78204918,72.7,1.29321814
0.92,2316596.169,1.8730661884899518,552380.730372,802578.673432,86840.3955403,0.00016683855575596156,106410.621668,0.0797,0.244,0.024,0.695,2888.207475,,,,2.519999981,97.81768799,66.42935181,,72.1,1.5414707559999998
9.89,748279.9035,10.376665555831744,283477.972183,188022.287833,59322.676027400004,0.026418974888164217,52623.97271040001,0.123,0.88,0.0147,0.8909999999999999,22351.94701,8.05912876,3035.97876,19.85958481,10.3579998,98.78333282,110.7331314,89.51747131,78.8,2.372243327
11.21,11614171.41,4.366622302925862,3527024.58695,5208725.09365,216812.235464,0.02972911885670692,646564.479873,0.187,0.933,0.0132,0.92,37929.07869,11.0968647,4611.810547,13.95870304,6.96600008,102.9958801,103.97483829999999,,80.4,1.368775396
,1755128.184,13.66849927051198,539700.918418,400034.698488,154860.9828269,0.004597941392582978,105652.671837,0.104,0.362,0.00979,0.754,1826.271471,3.39824891,177.00895690000004,31.08116722,7.7899999620000004,101.4763565,99.94946289,58.19260025,65.5,3.8627129860000013
