Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Greece,GRC,5344.438258,4830.331232,5031.489217,4469.41665,4281.893831,4227.38283,4909.363365,5730.172608,6648.321977,6885.802803,8585.234425,9161.388466,10064.83057,9333.990673,9943.131285,11575.65668,12124.53503,11806.0601,11777.61149,11370.98518,10528.0416,10951.76591,12242.07905,15753.64152,18572.91096,19305.19675,20761.43375,23873.11214,26183.01429,24321.67441,21816.42465,20536.20191,18056.40145,17597.19781,17990.17222,15020.2328,15030.41016,15861.21689,16994.1723,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Guatemala,GTM,1053.340913,1121.799778,1087.876885,1115.409651,1133.866146,1142.290893,816.210167,781.5316224,843.8006592,883.768944,770.1246214,938.7210075,1013.473345,1085.013339,1202.685644,1320.176402,1373.069129,1516.381964,1619.642435,1482.997621,1513.283722,1436.24388,1534.749612,1574.598617,1670.182954,1839.353413,1965.480178,2136.591553,2386.467211,2239.868983,2387.398805,2699.263381,2846.244508,2930.245739,3113.226215,3323.78404,3477.966858,3721.032694,3741.498253,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Guinea,GIN,..,..,..,..,..,..,274.1516005,291.8281287,334.9901557,324.0080527,346.873757,383.8205477,422.6163354,423.0363575,424.0374616,427.2689161,437.8480475,427.2551787,390.6500683,373.220554,310.4074551,283.5742111,289.6782562,293.7431,316.8166068,236.9592452,381.6784557,557.307624,577.776033,518.0398641,518.6874672,483.516595,536.7185252,566.410729,584.9010505,581.0058267,537.5291943,639.4861332,709.0856655,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Guinea-Bissau,GNB,126.0864448,182.4691031,190.4118672,185.6624491,153.7648819,172.0119184,137.9626524,172.3211688,158.0239614,200.6884719,228.428384,229.6139353,195.9162685,200.5375998,195.4938909,199.9469357,207.5721608,205.0424858,144.8225818,159.9743308,272.1318117,279.5779217,292.1504203,315.8512452,350.2308969,376.6883509,371.2065361,414.8596667,495.0177655,455.8631101,468.9342559,608.8495579,514.0352176,514.6693187,531.8146723,505.347706,562.5810419,624.8174692,696.1840291,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Guyana,GUY,663.2109339,596.6016738,482.9357194,484.2153318,422.5790996,456.6967536,499.7671603,321.4963947,402.6167602,331.0739742,378.5957339,279.7922091,345.4826416,473.134918,592.3008894,688.8769097,837.5972368,866.5843337,850.5945565,809.697357,867.077953,857.0705924,871.0397306,903.7685289,967.6805142,1036.480781,1933.458746,2281.186681,2395.589209,2525.964148,2661.914173,2893.441795,3130.971129,3295.90369,3597.482313,3698.495822,3723.242662,3760.640573,4048.123829,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Haiti,HTI,231.6094222,243.0145016,233.9127303,256.0812403,281.0132537,304.2254473,345.8087187,296.851291,371.8556889,381.3784758,424.1633138,465.9029304,298.0405534,243.9744244,278.6016358,351.9947094,358.4101524,404.9480922,443.0339132,487.9703904,460.5380418,408.2244683,384.5115907,320.7128512,375.3565368,446.9114752,485.7310187,589.2813213,641.343208,636.3681958,625.7716901,703.6838053,727.051142,766.1554405,778.9078884,761.1683565,682.2213603,710.3612079,805.2942101,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Honduras,HND,962.1447403,954.4187921,952.6845117,988.0022361,1052.913707,1105.279742,1154.624195,1222.179027,1120.506647,999.0661831,862.441087,789.7902593,813.938736,814.4903303,744.6391376,830.1793375,788.0636135,853.120168,927.0328152,913.8822997,983.0670961,1017.023621,1013.356525,1028.962378,1070.303798,1154.212744,1253.811964,1416.435615,1547.788507,1589.570255,1655.856357,1824.439164,1851.324505,1800.309748,1865.026966,1993.491207,2007.297802,2136.228123,2141.250892,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Hong Kong SAR, China",HKG,5131.069436,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..,3057.902209,3284.481718,3411.048596,3394.247384,3414.339489,3552.321376,3549.080088,3459.957623,3996.036886,5137.926701,6575.234237,8011.797381,8719.767386,8927.694563,10635.13369,12105.5981,10101.76421,10109.30376,10871.79058,9959.79424,10820.49871,11176.57068,9960.191584,10487.08266,11504.40321,12895.66092,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32111.01451,32306.84878,39147.75799,43246.42013,42302.94757,50341.64848,58220.28991,58080.29499,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,India,IND,240.8482695,242.0838068,242.662204,258.4838783,244.3752222,260.1838858,273.9820021,300.5977429,312.7538153,302.8448595,321.1004567,263.4499556,276.0458601,262.2698856,302.9207174,326.0684209,349.5595208,363.8320593,364.2095922,389.970085,386.7647808,394.2017469,410.8045184,476.7612398,548.1318537,621.48335,699.3819235,891.5848347,852.1268773,957.9084149,1171.9979,1256.484413,1246.473132,1251.528285,1365.396839,1404.45172,1503.878512,1730.733672,1735.329397,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Indonesia,IDN,352.0017531,439.7426852,490.7981546,420.3788488,427.4106227,427.6358577,410.1294476,369.6051913,411.063058,438.3226738,476.6296707,537.3875137,581.0353964,722.0690079,810.7041108,908.9110973,1006.612683,942.4115528,393.1283077,556.2651089,632.0942622,540.7698105,666.3902185,782.7891184,820.8915885,882.6459807,1127.617972,1318.821146,1538.50403,1672.34183,2325.786398,2682.120062,2747.100495,2705.093687,2625.297602,2540.584132,2806.763833,3007.523268,2998.690092,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Iran, Islamic Rep.",IRN,1996.233562,2139.914995,2523.088205,2954.478886,2978.27001,3190.467361,3592.936798,2176.441848,1907.204832,1772.639932,1683.185065,..,..,757.1874718,847.7782331,1174.502044,1379.553128,1331.642041,1335.064806,1319.517297,1197.284654,1447.297703,1520.751193,1781.432758,2136.534192,2485.755815,2888.953072,3840.717236,4375.055671,4572.039253,5354.651353,6244.610145,6170.316582,4609.634422,4291.631883,3835.411546,4189.799644,4352.306986,..,..,..
